,loser,losing_margin,seat,tpp,winner
101,LIB,45.963461931006336,Bonner,54.03653806899368,ALP
102,LIB,49.47188488621288,Bowman,50.52811511378711,ALP
103,ALP,49.72188201673812,Brisbane,50.27811798326189,LIB
104,LIB,41.3623839167262,Capricornia,58.637616083273805,ALP
105,LIB,45.812327788549844,Dawson,54.18767221145014,ALP
106,LIB,44.242857142857154,Dickson,55.75714285714286,ALP
107,LIB,48.674992822279634,Fairfax,51.32500717772036,ALP
108,ALP,49.21675681191958,Fisher,50.783243188080405,LIB
109,LIB,37.98382465543644,Flynn,62.016175344563536,ALP
110,LIB,40.64139197877335,Forde,59.35860802122666,ALP
111,LIB,34.427434170238826,Griffith,65.57256582976117,ALP
112,ALP,45.89911596463859,Groom,54.10088403536142,LIB
113,LIB,38.31929555895866,Herbert,61.68070444104136,ALP
114,LIB,42.71509235333525,Hinkler,57.28490764666476,ALP
115,LIB,40.06990509235636,Kennedy,59.930094907643635,KAP
116,LIB,42.88380551301685,Leichhardt,57.11619448698316,ALP
117,LIB,37.95744463720787,Lilley,62.042555362792115,ALP
118,LIB,39.58365608055771,Longman,60.4163439194423,ALP
119,ONP,43.872032924961715,Maranoa,56.127967075038285,LIB
120,ALP,47.830901112358404,McPherson,52.169098887641596,LIB
121,ALP,42.66020408163265,Moncrieff,57.33979591836735,LIB
122,LIB,39.241730809236515,Moreton,60.75826919076346,ALP
123,LIB,30.1761102603369,Oxley,69.8238897396631,ALP
124,LIB,37.95897540565364,Petrie,62.04102459434636,ALP
125,LIB,30.730686804775992,Rankin,69.26931319522402,ALP
126,ALP,46.98489641800183,Ryan,53.01510358199816,LIB
127,LIB,45.02919218989281,Wide Bay,54.9708078101072,ALP
128,LIB,42.08460949464012,Wright,57.91539050535988,ALP
129,LIB,33.37687519134605,Brand,66.62312480865396,ALP
130,LIB,36.824999999999996,Burt,63.17499999999999,ALP
131,ALP,48.67333401367486,Canning,51.32666598632513,LIB
132,LIB,43.2030612244898,Cowan,56.796938775510206,ALP
133,ALP,35.02143075824064,Curtin,64.97856924175936,LIB
134,ALP,49.86578893651765,Durack,50.13421106348234,LIB
