,source,pollster,time,state,primary,ALP,COA,GRN,OTH,tweet_id
116,ghost,Galaxy,2018-07-22 12:09:06,Federal,False,50.0,50.0,,,1.0210042046665974e+18
117,ghost,Galaxy,2018-07-22 12:08:27,Federal,True,37.0,34.0,0.0,0.0,1.0210040430348984e+18
118,ghost,Galaxy,2018-07-22 12:07:41,Federal,False,49.0,51.0,,,1.021003848335233e+18
119,ghost,ReachTEL,2018-07-21 12:03:36,Federal,False,49.0,51.0,,,1.0206404316069068e+18
120,ghost,ReachTEL,2018-07-20 14:20:12,Federal,False,52.0,48.0,,,1.0203124218926449e+18
121,ghost,Essential,2018-07-17 07:14:45,Federal,True,36.0,40.0,10.0,0.0,1.0191181901131407e+18
122,ghost,Essential,2018-07-17 07:14:02,Federal,False,51.0,49.0,,,1.0191180094308844e+18
123,ghost,Newspoll,2018-07-15 11:34:16,Federal,True,36.0,38.0,10.0,0.0,1.0184587252526244e+18
124,ghost,Newspoll,2018-07-15 11:32:44,Federal,False,51.0,49.0,,,1.01845833684335e+18
125,ghost,ReachTEL,2018-07-09 07:24:15,Federal,True,36.3,42.9,4.4,8.0,1.0162214779960975e+18
126,ghost,Ipsos,2018-07-08 14:26:25,Federal,False,52.0,48.0,,,1.0159653335621304e+18
127,ghost,Ipsos,2018-07-08 14:24:44,Federal,False,47.0,53.0,,,1.0159649080625888e+18
128,ghost,Ipsos,2018-07-08 14:23:16,Federal,False,52.0,48.0,,,1.0159645380033126e+18
129,ghost,Ipsos,2018-07-08 14:22:37,Federal,False,56.0,44.0,,,1.0159643740606218e+18
130,ghost,Ipsos,2018-07-08 14:21:51,Federal,False,53.0,47.0,,,1.0159641811141508e+18
131,ghost,Newspoll,2018-07-08 14:19:43,Federal,True,33.0,37.0,7.0,0.0,1.0159636448094986e+18
132,ghost,Newspoll,2018-07-08 14:19:12,Federal,False,51.0,49.0,,,1.0159635136956252e+18
133,ghost,Newspoll,2018-07-08 14:17:37,Federal,True,37.0,42.0,10.0,0.0,1.015963117254148e+18
134,ghost,Newspoll,2018-07-08 14:16:48,Federal,False,50.0,50.0,,,1.0159629099968224e+18
135,ghost,Newspoll,2018-07-08 14:16:29,Federal,True,38.0,36.0,9.0,0.0,1.0159628315633828e+18
136,ghost,Newspoll,2018-07-08 14:16:02,Federal,False,53.0,47.0,,,1.0159627187911311e+18
137,ghost,Newspoll,2018-07-08 14:15:05,Federal,True,39.0,39.0,10.0,0.0,1.0159624816409436e+18
138,ghost,Newspoll,2018-07-08 14:14:35,Federal,False,53.0,47.0,,,1.0159623530603644e+18
139,ghost,Newspoll,2018-07-08 14:13:46,Federal,True,37.0,38.0,9.0,0.0,1.0159621504628776e+18
140,ghost,Newspoll,2018-07-08 14:13:06,Federal,False,52.0,48.0,,,1.0159619827242598e+18
141,ghost,Essential,2018-07-02 11:04:49,Federal,True,37.0,40.0,11.0,0.0,1.0137402716478752e+18
142,ghost,Essential,2018-07-02 11:02:44,Federal,False,52.0,48.0,,,1.0137397462946284e+18
143,ghost,Newspoll,2018-07-01 11:48:43,Federal,True,37.0,39.0,9.0,0.0,1.0133889319900815e+18
144,ghost,Newspoll,2018-07-01 11:46:51,Federal,False,51.0,49.0,,,1.0133884596527556e+18
145,ghost,ReachTEL,2018-06-27 22:32:16,Federal,True,39.0,35.5,3.3,0.0,1.012101331543208e+18
146,ghost,ReachTEL,2018-06-27 10:54:43,Federal,False,49.0,51.0,,,1.0119257881180078e+18
147,ghost,Ipsos,2018-06-24 13:56:47,Federal,True,35.0,35.0,12.0,0.0,1.010884445295952e+18
148,ghost,Ipsos,2018-06-24 11:10:15,Federal,False,53.0,47.0,,,1.0108425353573458e+18
149,ghost,ReachTEL,2018-06-24 05:19:20,Federal,True,8.2,32.7,9.0,0.0,1.0107542241230684e+18
150,ghost,ReachTEL,2018-06-24 05:17:43,Federal,True,39.1,34.9,4.4,0.0,1.0107538163612344e+18
151,ghost,ReachTEL,2018-06-24 04:16:34,Federal,True,27.3,40.8,4.2,0.0,1.0107384273717208e+18
152,ghost,ReachTEL,2018-06-24 04:15:59,Federal,False,46.0,54.0,,,1.0107382830122394e+18
153,ghost,ReachTEL,2018-06-24 04:14:55,Federal,False,0.0,38.0,,,1.0107380121020908e+18
154,ghost,ReachTEL,2018-06-24 04:12:41,Federal,False,0.0,50.0,,,1.0107374502834586e+18
155,ghost,Essential,2018-06-19 07:13:29,Federal,True,35.0,38.0,11.0,0.0,1.0089710116335698e+18
156,ghost,Essential,2018-06-19 07:12:43,Federal,False,52.0,48.0,,,1.00897081952179e+18
157,ghost,Newspoll,2018-06-17 11:32:38,Federal,True,38.0,38.0,10.0,0.0,1.0083114543850948e+18
158,ghost,Newspoll,2018-06-17 11:31:33,Federal,False,52.0,48.0,,,1.0083111780056064e+18
159,ghost,Galaxy,2018-06-08 08:02:34,Federal,False,0.0,42.0,,,1.004997098071253e+18
160,ghost,ReachTEL,2018-06-07 09:14:43,Federal,False,0.0,42.0,,,1.0046528658669814e+18
161,ghost,Essential,2018-06-05 07:41:39,Federal,True,37.0,36.0,10.0,0.0,1.0039046678588252e+18
162,ghost,Essential,2018-06-05 07:40:53,Federal,False,54.0,46.0,,,1.0039044777939272e+18
163,ghost,ReachTEL,2018-06-02 23:35:39,Federal,True,33.0,47.0,6.0,0.0,1.003057586600493e+18
164,ghost,ReachTEL,2018-06-02 23:34:13,Federal,False,46.0,54.0,,,1.0030572251856282e+18
165,ghost,ReachTEL,2018-06-02 23:33:10,Federal,True,35.0,38.0,2.0,0.0,1.003056964811686e+18
166,ghost,ReachTEL,2018-06-02 23:32:41,Federal,False,48.0,52.0,,,1.0030568403624756e+18
167,ghost,ReachTEL,2018-06-02 23:30:39,Federal,True,34.0,35.0,11.0,0.0,1.0030563292151848e+18
168,ghost,ReachTEL,2018-06-02 23:30:12,Federal,False,52.0,48.0,,,1.003056214618411e+18
169,ghost,Newspoll,2018-05-27 11:32:44,Federal,True,38.0,38.0,9.0,0.0,1.0007013330479882e+18
170,ghost,Newspoll,2018-05-27 11:31:44,Federal,False,52.0,48.0,,,1.0007010826060554e+18
